1 0.00260078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390117,0.00130039,0,0,0.0260078,0.00390117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00780234,0.00130039,0,0,0.0182055,0.00910273,0.00520156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00910273,0.00260078,0.00130039,0,0.397919,0.235371,0.0273082,0.247074,
1 0.0219512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219512,0,0,0,0.00487805,0.00365854,0,0,0,0,0,0,0,0,0,0,0.00243902,0,0,0,0.0231707,0.00243902,0,0,0.00365854,0,0,0,0,0,0,0,0,0,0,0,0,0.00121951,0,0,0.0219512,0.00487805,0.00121951,0,0.115854,0.0792683,0.0670732,0.62439,
1 0.0912409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279805,0,0,0,0.013382,0.00364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182482,0.00243309,0,0,0.00973236,0.00364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145985,0.00608273,0.00243309,0,0.0571776,0.0620438,0.0571776,0.63017,
1 0.0243056,0,0,0,0.00231481,0,0,0,0,0,0,0,0,0,0,0,0.0231481,0,0,0,0.0150463,0.00115741,0,0,0,0.00115741,0,0,0,0,0,0,0,0,0,0,0.0150463,0.00347222,0,0,0.0196759,0.00578704,0.00115741,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00578704,0.00115741,0.00115741,0,0.0451389,0.0416667,0.037037,0.755787,
1 0.0675991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268065,0.0011655,0,0,0.00582751,0.0034965,0,0,0,0,0,0,0,0,0,0,0.002331,0,0,0,0.0151515,0.0011655,0,0,0.0034965,0.00815851,0.0011655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016317,0.0034965,0.002331,0,0.0629371,0.0664336,0.0477855,0.664336,
1 0.00264201,0,0,0,0.001321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00264201,0.00528402,0,0,0.00264201,0,0,0,0,0,0,0,0,0,0,0,0.00264201,0.00396301,0,0,0.00660502,0.00264201,0.001321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00528402,0.00924703,0.00660502,0,0.310436,0.235139,0.116248,0.285337,
1 0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144737,0.00131579,0,0,0.0105263,0,0.00131579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118421,0.00263158,0,0,0.0144737,0.00131579,0.00131579,0,0,0.00131579,0,0,0,0,0,0,0,0,0,0,0.0131579,0.00131579,0,0,0.0789474,0.0486842,0.0342105,0.738158,
1 0.00356295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118765,0,0,0,0.02019,0.00712589,0,0,0.00118765,0,0,0,0,0,0,0,0,0,0,0,0.00831354,0.0106888,0,0,0.0213777,0.00712589,0.00118765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00950119,0.0130641,0.0023753,0,0.31829,0.332542,0.0356295,0.206651,
1 0.0139064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022756,0,0,0,0.0240202,0.00758534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101138,0,0,0,0.0126422,0.00252845,0.00379267,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00632111,0.00126422,0.00632111,0,0.0973451,0.0657396,0.0518331,0.673831,
1 0.0172202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258303,0,0,0,0.00246002,0,0,0,0,0,0,0,0,0,0,0,0.00369004,0,0,0,0.0159902,0.00246002,0,0,0.00492005,0,0,0,0,0,0,0,0,0,0,0,0.00246002,0.00246002,0,0,0.0159902,0.00738007,0.00123001,0,0.121771,0.0836408,0.0738007,0.618696,
